H9,DJ,SA,11
DA,D8,S2,19
D4,SQ,CT,10
H9,H3,ST,12
SK,C2,DA,11
SK,S9,DJ,19
SQ,C2,DJ,10
CJ,C8,HQ,18
HJ,CK,DK,10
S2,C9,S3,9
D5,S7,H6,7
HQ,H9,D4,19
DQ,C4,S8,10
S5,D7,D4,11
C6,H9,H5,14
H3,ST,SA,21
SJ,S7,HK,17
H9,SQ,DK,10
D5,S4,D3,8
C2,H9,C4,9
H9,SA,H4,13
HT,D6,D7,13
HT,S4,SJ,14
DJ,C3,SA,11
S2,SA,S7,20
D8,D8,HK,16
S3,S6,CJ,10
SK,C4,ST,20
C6,C9,DJ,15
S7,SA,CK,18
DT,C5,C7,12
S6,C3,H9,9
H4,CT,HQ,14
HJ,D8,DQ,18
HK,D9,DT,19
H7,S3,S8,11
H4,D3,S3,4
HT,SK,C7,10
D9,CT,SK,10
CQ,S2,H2,10
H7,D5,S8,8
CJ,H9,C5,15
SJ,ST,HJ,20
HT,C8,DJ,10
DJ,D9,CJ,19
D5,DT,D4,19
H2,C3,S5,5
HA,C8,D5,11
HQ,C9,ST,10
S4,H6,H4,10
H9,S7,C2,9
H7,H5,H6,18
DJ,S3,C3,10
C5,CQ,HK,15
C4,D2,D3,5
C6,S6,CQ,16
C7,S8,S6,14
H7,D3,H2,9
H4,ST,DT,10
CT,D4,D6,10
HK,H5,SJ,15
SJ,SK,D7,20
H3,S9,SQ,19
D7,D7,C5,14
S4,H3,C6,6
S8,C3,DK,10
D5,D7,HJ,12
DQ,C3,SJ,10
SQ,CJ,SQ,20
H9,S8,D4,9
SJ,SA,D5,21
D8,H5,SA,11
HK,CJ,S3,10
D6,H5,CJ,10
C5,C4,DJ,10
D9,CK,C9,19
C3,C5,HA,11
DJ,CA,S2,11
D6,D2,CK,10
D3,S2,S7,9
SK,HQ,D8,10
SJ,D7,S3,13
HJ,H7,H4,21
SA,C7,S4,15
DJ,S2,C8,10
C2,D8,S7,8
DK,H6,D5,15
SK,HQ,CK,10
H2,S6,C8,8
H8,H2,S8,10
DQ,D8,H3,18
D9,D9,C3,18
D7,HJ,CA,11
CA,ST,SK,20
CJ,DA,C5,15
HK,CK,SA,11
S2,D4,S2,4
C3,C4,C2,9
HK,S6,S3,10
CA,CJ,H6,21
H2,D2,C5,5
C9,HK,D7,10
SK,CK,C7,17
C6,DT,CJ,16
S4,DA,C6,11
HT,SJ,SA,21
HJ,HK,CA,20
S3,ST,S2,15
H8,C8,CA,19
H9,DJ,H5,14
S5,S2,H8,8
C9,SA,S7,18
DT,CJ,SQ,10
DQ,C2,C2,10
S2,DJ,SK,12
D2,CJ,H2,10
D4,HT,S6,10
HA,C6,S3,11
SJ,S2,D7,12
C7,D4,H7,7
CA,D5,S6,11
SK,S2,ST,22
DA,C9,DJ,21
H3,C2,S5,5
DA,S2,D6,17
D4,SJ,HJ,10
S8,ST,DT,18
C9,SJ,C5,14
S7,DJ,D9,19
ST,DK,CT,10
H2,CT,CT,20
C7,H3,C7,14
C5,C4,H4,9
S5,D6,S8,13
H5,HJ,C7,15
S3,HJ,CJ,10
HA,S6,ST,16
D6,CA,C7,18
DJ,D4,S3,14
C4,H5,HA,16
DQ,C3,C7,10
H5,S2,SQ,12
CA,S6,H5,11
DT,D8,HQ,18
C7,DJ,C5,12
SK,D2,HT,10
C9,C6,H6,15
C5,S4,HT,10
H3,SA,DT,11
CT,H8,H2,10
SQ,ST,CJ,20
D7,H6,CQ,10
DQ,D9,H6,19
H8,C5,CQ,15
C7,CT,S5,17
SJ,D8,C4,10
D4,H4,SA,11
C8,C5,H9,13
SA,C9,D7,11
S9,CK,HQ,10
D4,D5,H8,9
H8,HT,S7,18
SJ,CQ,ST,20
D5,D7,DJ,22
DJ,CJ,H6,10
S9,H8,D9,9
C4,HT,CA,15
S7,S2,C8,9
H5,H8,C2,13
C7,SJ,H4,10
C3,CJ,HJ,13
DJ,D4,C3,14
H2,S8,DJ,10
C3,S7,HA,11
HK,C3,H7,17
HK,HK,HQ,30
H2,CA,C6,17
C6,D6,S6,6
D9,H8,CA,11
ST,C8,H5,10
C3,S3,SA,14
HQ,CJ,C6,16
S8,CT,SJ,18
C9,C4,HK,13
C4,CK,C4,18
H8,D6,H5,13
H2,C2,H3,5
DQ,C9,DQ,20
D4,SJ,SA,21
D5,S2,CT,10
CT,D6,SQ,10
SK,DJ,SA,21
D3,SK,DJ,13
HJ,H7,CA,17
DJ,HQ,H9,19
D5,D2,CK,10
S2,H9,H2,11
H8,S8,SK,18
C3,C6,H7,9
D6,H9,H5,14
C4,C8,SJ,12
C8,H8,HQ,18
HA,DT,S7,11
H8,HA,ST,19
SQ,DA,S2,12
DA,DK,HK,21
HK,H3,SK,13
HJ,HA,DT,21
H7,HK,SJ,17
C6,S3,H2,6
C8,D3,D3,8
HT,H5,DK,15
DT,DA,SJ,21
H3,D8,CQ,10
C7,C9,C7,23
SK,D8,C6,10
C6,S4,C7,13
S9,ST,SA,30
H3,HA,DQ,14
S5,HK,S3,10
S8,SA,H4,19
C2,H4,S6,6
H6,CK,DJ,10
S5,C3,CJ,13
DA,D7,S4,18
H4,D6,S2,6
S5,D6,C3,6
D8,S7,HK,10
H8,DQ,S4,10
CA,H7,HA,18
DA,C3,SQ,11
CT,HA,HJ,21
SJ,C9,HA,11
H6,D3,S8,8
H8,C5,DT,10
DT,H3,S8,10
SJ,SA,C5,21
S7,CJ,S6,13
HQ,C4,C6,10
H7,C8,C4,12
D5,S3,CK,10
CQ,S8,HQ,10
DQ,D7,H3,17
H4,C6,CQ,16
S5,D8,DA,19
H8,D6,D5,11
C8,S8,H5,8
H2,DA,H7,11
C7,HQ,D2,10
S7,S2,DJ,10
DQ,H2,H5,10
C3,HT,C2,10
D7,C4,C9,13
H2,S2,C3,3
DT,D7,H8,17
CK,DQ,SQ,10
S5,D6,DQ,16
H4,DT,D5,15
D4,HA,H7,18
C3,DK,C7,10
D7,ST,H2,10
DK,C9,D3,13
D7,HA,H2,13
DQ,S3,CK,10
H7,C2,HJ,17
D7,C7,D8,15
SA,D8,DK,18
S8,CK,S2,10
CT,C9,SQ,19
C6,D9,D3,12
CJ,S2,S6,10
DQ,DT,HA,20
S3,H8,DA,11
SQ,H5,H2,10
H3,H9,CQ,12
CK,HJ,D6,10
S5,CQ,D8,10
DJ,CA,DJ,20
S2,S5,S7,14
H6,H6,S5,12
S6,C6,HJ,10
D3,H5,H2,7
SQ,C2,H4,10
DJ,HJ,HK,20
H8,DK,S6,10
DT,DT,DT,30
S7,C7,DT,10
H9,DK,C8,10
SA,DQ,C8,11
DK,C4,C5,10
DQ,CK,DJ,20
C6,C4,D7,10
HK,S2,HA,21
DT,CA,C9,20
C5,S6,SK,16
HT,C4,H5,15
C6,C7,D6,13
CK,S7,C5,15
SK,CK,H3,10
S7,CJ,CK,20
D6,CQ,HA,11
S2,C9,HK,10
C3,C5,D5,8
HQ,CJ,C9,19
H2,HJ,H7,19
H9,D4,CQ,10
HQ,S5,D7,10
C8,C4,S8,12
S6,CK,S7,13
S8,CT,DA,11
CJ,S8,H7,10
D8,SK,C9,10
HQ,SA,DJ,11
C9,S6,D6,9
S8,HT,C7,10
DT,HA,S6,11
D5,HK,CK,10
C5,D6,C7,12
C5,S2,D7,7
S5,C9,H8,9
S4,S8,SQ,22
CK,CT,D9,20
D4,HK,C7,10
H2,SA,D5,11
C3,ST,H3,10
C3,H3,ST,10
D4,DT,S5,14
DA,D3,C3,14
C4,H8,DK,10
ST,ST,H2,20
CT,D3,C7,17
C7,CQ,DK,17
C2,S2,ST,12
D9,H6,H6,12
D4,D6,SA,11
D3,D8,DQ,21
D4,H6,H5,11
DQ,H7,H8,15
SK,SK,HJ,20
CK,DQ,S2,10
C5,CA,CJ,26
CQ,C2,H5,12
DA,DJ,CT,21
H4,S6,DJ,10
S9,SQ,DQ,19
D6,CK,C8,18
D5,D5,H6,10
SJ,C9,D3,10
S4,S6,C5,10
D3,D6,HK,10
CA,DT,DT,20
S4,HQ,HA,21
D7,CQ,H5,10
H7,S8,DA,11
D9,H3,D2,11
HQ,HQ,C4,20
SJ,C7,C2,10
S3,S3,S8,14
H3,D4,D3,7
D8,HQ,SK,10
C6,S6,CQ,16
C5,CK,S7,15
DT,S2,H2,10
DQ,SJ,H8,10
DK,D3,D9,22
D6,CK,C7,17
D5,D3,C2,8
D7,DJ,HJ,17
DT,S7,H5,10
H8,D6,S2,8
D6,HJ,SK,10
D6,D2,H2,8
S8,H6,C6,8
D4,D2,SJ,10
H9,SJ,ST,20
CJ,DA,S7,11
SA,D6,CQ,11
HT,C2,D3,10
H9,H7,S7,16
S8,D6,CQ,10
S9,CK,HJ,10
CQ,C9,C3,22
ST,C7,SQ,20
HA,C9,SA,11
S7,DT,D8,18
C3,DA,SA,11
CK,H8,S7,10
HJ,DK,S7,10
S7,H7,DA,11
D6,HQ,H3,13
DQ,D6,S5,16
DK,C6,DA,21
D9,H7,D7,16
C5,D2,C4,9
DK,HQ,D9,19
D3,CJ,CQ,20
DA,DJ,CT,21
DT,C9,C5,14
D7,C3,CA,14
S6,DT,C3,10
HA,D2,D6,11
S5,D6,H2,6
D8,S5,D7,15
CQ,SJ,H7,10
S3,H4,DJ,10
HA,SJ,HJ,21
C9,CT,H5,19
HA,D6,DJ,16
DK,SJ,S3,13
H5,CT,CQ,20
SK,D4,C3,10
ST,C5,CQ,15
CT,D9,HK,10
D6,HQ,C4,10
H6,SJ,HJ,16
SQ,D9,S6,16
DJ,C7,HK,10
D7,D8,C4,15
S5,D5,DQ,15
SJ,S4,C7,14
DK,S5,H2,10
S3,CQ,HA,11
SJ,D8,C5,10
D9,HQ,HQ,20
S5,D9,HK,10
SJ,HK,S4,14
S8,S6,DK,14
C9,CJ,S9,19
DA,DT,H4,21
C5,D8,CA,16
H6,HJ,D7,16
S8,HK,S2,10
SQ,D5,DQ,15
D7,DK,CT,17
C6,CK,H7,16
CJ,D2,CT,20
C9,HK,D3,10
C4,C7,S5,11
S8,H4,S3,11
C6,C8,C3,17
H5,DJ,HJ,15
C9,S8,C5,14
DT,S3,SA,14
D8,DJ,CJ,18
DQ,D5,H8,15
H8,D7,DK,17
DT,CA,H4,11
H4,H4,CT,10
C9,DJ,HJ,10
HQ,S9,CQ,10
DA,H2,D3,14
HJ,S5,ST,15
DJ,DJ,S2,20
S6,H5,C8,8
SK,D6,HT,10
HJ,S2,HK,20
C2,H3,HQ,13
C7,SQ,C9,16
S8,C7,SQ,18
SA,CT,CA,21
H4,S8,DT,10
C3,D5,S8,8
S3,S4,CQ,10
CT,H9,H4,13
HT,C3,S7,10
CK,D8,H2,10
D3,SK,H2,10
S7,H3,ST,17
DT,DA,C2,21
H2,S4,C5,5
H9,DJ,CJ,10
C8,DT,H3,10
ST,HJ,S2,12
C9,S2,H2,9
HJ,HK,CK,20
S7,SA,DJ,18
HK,HA,DJ,21
H2,C6,D3,6
DQ,S5,H6,10
SJ,HT,C5,10
SK,CT,CJ,20
DT,C3,C6,10
HK,S6,H4,14
SK,S3,DQ,13
DQ,H7,D6,16
C6,HK,CJ,16
H6,H9,S6,15
H9,H2,D2,11
H9,ST,S5,15
H5,SK,DQ,10
H5,S3,S5,8
S7,CA,DA,11
CK,DA,HA,11
DQ,C7,D4,14
D7,D8,H6,15
H5,C9,H2,9
CT,D8,H2,10
SA,H8,DJ,11
DQ,SQ,C9,10
SJ,C8,DK,10
SQ,S4,D6,14
H9,C9,CQ,19
S7,C4,S5,12
DQ,H8,H8,16
C9,D9,H5,9
D2,S4,H2,4
D6,C9,H9,9
C5,C8,CQ,23
C9,D3,D8,11
DJ,S5,S7,12
SQ,D4,C8,10
S4,DK,C6,10
DJ,H7,D8,18
DA,D4,H5,15
H4,SJ,S9,19
D2,S9,HK,10
D3,C5,DJ,13
SJ,D2,H4,10
H3,D3,CA,11
S4,C5,SJ,14
C7,D2,D9,11
H3,H7,HK,20
DJ,C6,DK,20
S2,SA,HJ,13
C8,CA,D2,19
DA,DA,H9,22
DK,DQ,HA,20
HT,H6,S2,16
SJ,S4,D9,14
CK,H2,HQ,12
CK,CJ,S8,20
S9,C8,H4,9
S3,C8,HQ,10
SA,S4,SJ,25
S8,S8,CQ,16
C8,H6,S5,8
D7,DJ,H2,17
SA,CA,C9,20
H4,C2,C8,10
C7,S3,DQ,10
C2,D9,S8,9
S5,D4,DJ,14
D2,S6,H2,6
C8,H8,S9,9
HQ,CT,D6,10
D2,DK,H2,12
S3,D3,DQ,13
HK,S5,CA,11
CT,ST,C4,14
D6,H9,CK,10
H8,S3,DT,10
S6,S9,S7,22
HT,SK,S4,14
H7,SK,C5,10
D7,H3,D3,10
CJ,S7,HQ,10
HQ,C5,SA,11
D8,S6,CJ,10
HQ,H7,HA,28
H4,S3,DA,11
C8,HA,D2,11
C3,S6,C9,12
DJ,S3,S3,10
H8,C4,H7,15
C5,S6,ST,16
C9,C8,D4,17
C3,S3,S3,6
S2,DQ,H8,10
D2,C4,H6,6
H7,C2,HA,18
H5,DK,H5,10
CK,H4,SJ,10
CJ,H4,DA,11
C8,C3,CK,21
S8,CK,S4,12
C3,D4,H2,4
HT,S8,C5,10
D6,S5,C3,6
S6,S6,CJ,12
CK,H6,D6,10
S5,C2,D7,7
C6,D7,HJ,10
C3,HQ,CJ,13
S9,D8,C7,9
D9,D5,H4,14
SQ,H4,HJ,14
DK,HK,H4,14
S8,S9,S8,25
C8,DQ,HJ,10
SJ,H4,D6,10
HA,D8,DJ,18
H8,D3,C9,9
ST,DJ,S8,18
H6,C3,HJ,16
H6,S8,S3,11
S5,S6,CT,11
C5,C9,H4,14
DT,D7,H8,17
H3,H9,HK,22
HA,ST,DA,11
H3,C7,C9,16
CA,C9,D5,20
CQ,C4,CT,24
H5,C7,S9,9
C2,DQ,S7,10
S5,CJ,C4,14
CK,C3,SQ,13
D6,H3,D2,8
C4,C9,S9,13
DT,HQ,HT,20
D9,CJ,D5,14
DA,CK,S9,11
C7,S9,DT,10
D2,D5,DK,17
CJ,S2,S9,11
C6,H7,S3,7
HT,D6,D6,12
D8,HK,C6,10
H6,CJ,H3,10
D7,HA,H2,13
C6,S5,CJ,16
H4,S9,SJ,19
D7,H2,D5,12
CT,HA,D7,11
H9,S8,S9,17
S8,CJ,D5,10
S8,D8,S2,10
S2,D7,D6,13
D9,S6,DA,20
DA,S8,SA,19
S9,CQ,C9,19
S7,S5,D2,12
CK,DA,C2,12
CK,HK,HA,21
H4,C9,DQ,10
HJ,S8,D2,10
S8,H7,H2,9
S9,D8,D7,15
S6,H9,H6,15
DA,CJ,S4,11
HJ,D7,CQ,10
CK,SA,SJ,21
H7,CT,S8,10
S6,SK,HT,16
H3,CJ,C3,13
ST,CQ,C2,12
DJ,DA,DK,31
DJ,S6,H7,10
S7,H4,DQ,10
SJ,H9,HT,19
DA,D2,C4,13
CQ,SA,CJ,20
H9,D6,CA,11
SQ,C8,C7,15
C7,C9,HJ,16
DJ,DA,D2,23
HK,DK,D9,19
C9,CT,CJ,29
C7,H7,D3,7
H4,H2,CT,10
D3,ST,H3,10
C9,CK,SA,19
CA,D4,CJ,21
S2,D7,H7,7
S8,H9,S5,13
SQ,S9,HA,19
H8,C8,HT,18
CT,DK,DT,20
HA,DJ,D2,12
HT,C7,C9,16
C9,C5,D5,14
S8,C5,C2,8
C7,SA,S9,20
S5,HK,C5,10
D3,CK,S3,10
S3,H9,SJ,13
CQ,ST,S7,17
CA,C4,S8,15
ST,H5,DT,10
CK,H4,CQ,20
ST,C4,HA,11
D9,HJ,C6,10
HT,ST,C3,10
CT,D8,DT,18
DJ,C7,C5,12
S5,SA,DQ,16
H5,CK,SK,10
HJ,H7,ST,17
HK,S9,D7,10
H7,DJ,H7,14
D9,H2,H3,9
SQ,DK,H2,10
ST,CQ,CA,21
H6,H5,C3,11
HQ,CT,HA,21
S2,CK,D5,10
D9,S8,SJ,18
CK,H6,D6,10
SQ,C6,S9,19
C8,DA,DA,22
CT,H2,DQ,10
SJ,H3,S8,18
C6,HA,SJ,11
SK,SK,D9,20
D7,HQ,S7,10
S4,H3,SJ,14
DQ,DT,DK,30
D9,DQ,D8,27
D7,H7,CQ,10
CT,C9,CK,29
SA,DJ,HJ,11
H2,HT,HK,22
HJ,CQ,D2,10
SK,C2,C6,10
H8,H9,C4,17
S9,CJ,CA,21
HJ,C9,C9,18
D5,CJ,HT,10
C6,D8,C7,13
DQ,DQ,HT,20
H7,H5,D7,12
D8,DQ,H8,18
D8,S3,CQ,10
C8,DJ,CQ,18
C4,H8,C5,9
SQ,C4,SJ,20
S3,H9,SQ,13
HJ,D4,HA,21
H5,C8,D4,8
D6,S7,C2,7
SJ,SQ,DJ,20
DQ,H8,C8,10
S6,CJ,CJ,20
H7,D6,H2,9
D2,H6,H2,8
S4,C6,H7,7
S5,CJ,H7,10
DQ,DT,H3,20
C3,C2,C7,12
H8,SQ,CQ,10
SK,H6,D2,10
S4,SK,D8,14
C7,C3,H6,10
C6,H6,DT,10
D4,S6,D2,6
C9,C8,C4,21
SQ,C3,S8,18
SJ,H8,S9,19
HA,HJ,DT,21
H3,H4,DQ,10
H2,HK,C3,12
S8,C3,D4,8
H5,D4,S3,5
H2,H9,C5,11
DA,H6,S2,11
C8,SK,HJ,10
S9,DK,H3,10
ST,HJ,D3,10
SJ,ST,HQ,20
ST,CJ,S2,12
HK,S6,DK,10
D4,SJ,HJ,10
C9,D6,C6,15
C4,S9,D9,9
C9,D9,D3,12
D2,D3,S9,9
CK,D7,D2,10
C9,S5,CK,19
CA,HQ,H2,12
C4,S5,H7,7
H7,H6,H4,17
DA,HK,DJ,21
C5,H6,D9,9
D4,CJ,DQ,14
SK,HA,CA,11
DJ,DJ,C2,20
C8,SJ,DT,10
C7,S2,C7,14
S5,DT,DQ,20
S8,H4,SK,18
D6,H7,CJ,10
D2,DJ,H2,12
C3,D4,HJ,10
CQ,S7,H7,10
C9,H3,HQ,13
HQ,DJ,H5,15
SJ,C5,DQ,10
D9,S6,HA,11
H3,H7,DQ,10
D7,SQ,C9,10
H7,D6,D4,10
S3,D9,DJ,19
D2,D7,S4,9
HA,H6,SA,17
S6,D7,D5,12
S2,C2,D9,9
D6,S5,HQ,10
HT,C8,S8,10
D7,S9,S3,12
C9,D4,CK,19
C7,HJ,CQ,17
S3,DA,S3,11
HQ,H6,C5,16
S6,H4,S3,9
S8,C8,D2,8
CA,HQ,S9,11
S2,D8,D3,11
DT,H5,H2,10
H5,H7,H3,15
H7,S6,S2,8
S3,C5,H7,7
D2,D8,C5,10
DK,C8,C5,13
S5,H2,HA,13
S8,HK,DK,10
H8,HA,CT,19
S6,D3,HA,11
S4,C5,C4,9
S5,H9,H3,12
C5,S6,C7,12
S5,HJ,C6,10
C5,H7,C5,10
D2,H3,CQ,10
SJ,H7,D5,10
D7,D5,C9,12
SJ,H7,DT,10
S7,CJ,D9,10
S6,SJ,SQ,26
S5,H4,H4,8
CK,SJ,CA,21
H5,C4,C9,13
C3,SA,HQ,11
D6,CT,DJ,16
HT,S4,HQ,20
DA,H5,S2,11
S7,D6,D2,8
SK,D2,S8,18
CJ,DT,D6,16
C2,H9,H4,13
C2,D9,H3,9
C8,S9,S6,15
D3,HJ,CT,10
S8,H5,C6,8
H9,C5,C6,11
H5,C6,H4,9
S4,DT,H9,10
CK,H9,S4,10
S6,DK,D7,17
C9,C6,CQ,25
DJ,H7,H8,15
ST,C8,SQ,20
D3,D9,S4,12
SJ,D3,C8,10
DQ,CT,C2,12
C5,D3,H7,7
C3,H2,H9,11
HA,D6,S9,11
C9,DJ,S6,10
C4,D2,DK,12
D2,HJ,C4,10
D4,CQ,H9,10
S5,S5,CQ,10
S3,CA,HJ,11
H2,S2,C9,9
D4,H5,C5,5
HK,H8,S3,18
HT,SK,D5,10
S6,C6,CK,16
CQ,H3,D6,10
SJ,C7,SJ,20
CT,S2,D9,10
C6,H8,C4,10
S7,SK,C6,17
H3,S4,H4,7
SJ,CK,H8,10
HA,H2,DT,13
HK,D3,DA,14
C5,SK,DK,10
D6,H6,D9,15
DA,CQ,D8,19
H8,C2,CJ,12
D6,H9,HK,19
CK,S8,CJ,20
C3,S3,SQ,13
H6,C6,CT,16
H3,HA,DQ,14
D7,CJ,H2,10
C3,DA,S7,11
S9,HQ,CT,10
H3,H5,D2,8
CT,HA,C2,12
H8,HA,HT,29
SA,C8,S9,20
CA,DT,D9,19
C8,SJ,H6,10
S8,H4,D6,8
S7,S3,C8,10
DJ,D8,D2,20
H3,D2,CK,10
H5,HJ,HK,25
S5,D8,D2,10
S6,DT,D7,17
S2,SQ,CA,12
HJ,H4,H8,22
S5,C5,HQ,10
S3,H9,C7,9
S3,D3,CJ,10
HQ,CQ,S3,10
C4,C2,SA,11
ST,CJ,CK,20
C5,DJ,H8,10
S9,DA,D7,18
CQ,S5,DJ,10
DT,CT,C7,17
D9,HA,CK,11
DT,D5,CJ,15
H4,CT,H2,10
D8,S2,DT,18
C8,HA,HJ,21
HT,HA,D9,21
DT,S8,DQ,20
SA,DQ,S6,17
C8,SK,C9,17
ST,DQ,SA,21
CT,S5,H6,10
H3,DQ,H5,10
DA,D9,CT,20
C9,D7,D2,9
C4,ST,S6,16
S6,S7,HQ,13
H7,H2,S3,9
HA,HT,H4,25
H5,S2,H6,11
CQ,CT,S6,20
DJ,D6,S5,16
CJ,S9,C6,16
C9,D6,C9,18
DA,SA,H6,11
S9,SQ,CT,19
SK,ST,H2,20
H7,CK,D4,10
S8,S3,S4,15
SA,CK,ST,21
C2,S4,HT,10
H6,C4,DA,11
H9,S2,S6,9
H9,S9,H9,18
SJ,D9,H3,10
H7,DQ,SK,10
D3,H9,D2,9
H4,H4,C2,8
S3,C3,S4,7
SK,D2,SA,21
C4,CA,C7,22
SA,CK,CJ,20
HT,CJ,DK,10
H2,D5,HK,12
S6,S5,D8,11
C2,S2,H8,8
CK,C2,S5,12
C9,DT,D9,19
C2,SK,SK,20
ST,DT,H3,10
D3,HT,H6,16
DJ,C2,C2,10
S5,C2,D2,5
DK,S8,D5,15
SA,SQ,DJ,21
D6,H6,C3,6
S4,S2,C3,6
HT,C9,H6,16
CK,D6,DK,16
H3,H2,CJ,10
C7,CA,S5,18
DA,DA,SQ,22
C8,DJ,H4,10
CQ,S2,D5,10
HA,S5,DJ,11
D2,S6,CK,10
C7,D6,C4,11
H3,S4,H7,10
DK,S3,C3,10
CT,D6,S6,10
H2,D8,S2,8
C3,D6,H7,7
H6,S5,S2,7
H2,H3,C5,5
ST,HJ,C9,10
D4,H8,S2,8
C4,D9,C7,11
C8,D7,S7,8
S6,D5,HK,10
H5,H7,D3,12
CJ,C9,D6,19
H5,H4,HJ,19
D5,HT,CT,10
H3,C3,S3,3
SA,H3,SJ,21
D2,H2,HK,12
H8,SJ,SK,20
C7,S9,CJ,17
S9,DK,DK,20
H5,S5,H4,9
C7,DT,HQ,10
CK,DA,D2,13
D3,S8,D2,8
D3,C6,HQ,10
D7,S9,S3,12
H5,C9,H2,9
DA,DJ,DT,31
C8,H4,SQ,10
D8,HK,DJ,18
H2,H7,H8,17
SJ,D3,HT,10
C4,D3,D5,8
DA,S8,C2,11
DQ,SA,S7,18
S3,C5,HQ,10
DT,ST,C2,10
S5,S7,H3,12
HK,H9,H2,21
S2,HJ,S9,11
HK,C6,CA,17
DQ,C4,D7,17
H4,S3,S8,11
HK,C2,HK,20
S2,H2,DQ,10
D3,DQ,D2,15
HT,H3,D8,13
DA,C3,ST,11
D4,C5,DK,14
S4,HA,D9,11
H2,H8,C2,10
H4,DQ,SK,10
HT,C7,CT,17
D6,C3,C7,10
C7,C4,H2,11
H7,S8,H5,12
H2,H7,D4,9
CJ,H3,H5,10
DQ,D4,C5,14
C8,D3,H8,8
D8,S2,D6,14
S4,DT,C6,10
CQ,HT,D3,10
DK,SK,DA,21
S5,H6,H7,13
